time	V(vgnd)	V(vraw)
0.000000000000000e+00	1.181007e+01	2.362016e+01
1.828571326102845e-09	1.181007e+01	2.362016e+01
3.657142652205690e-09	1.181007e+01	2.362016e+01
5.485713978308534e-09	1.181007e+01	2.362016e+01
7.314285304411379e-09	1.181007e+01	2.362016e+01
9.142856630514225e-09	1.181007e+01	2.362016e+01
1.097142795661707e-08	1.181007e+01	2.362016e+01
1.279999928271991e-08	1.181007e+01	2.362016e+01
2.000000000000000e-03	1.181007e+01	2.362016e+01
2.001000000000000e-03	1.181007e+01	2.362010e+01
2.003000000000000e-03	1.181007e+01	2.361988e+01
2.006000000000000e-03	1.181007e+01	2.361924e+01
2.010000000000000e-03	1.181007e+01	2.361801e+01
2.016057142857143e-03	1.181007e+01	2.361544e+01
2.022114285714286e-03	1.181007e+01	2.361286e+01
2.028171428571429e-03	1.181007e+01	2.361029e+01
2.034228571428571e-03	1.181007e+01	2.360772e+01
2.040285714285715e-03	1.181006e+01	2.360516e+01
2.046342857142857e-03	1.181006e+01	2.360259e+01
2.052400000000000e-03	1.181006e+01	2.360003e+01
2.062400000000000e-03	1.181006e+01	2.359580e+01
2.072400000000000e-03	1.181006e+01	2.359159e+01
2.082400000000000e-03	1.181005e+01	2.358739e+01
2.092400000000000e-03	1.181005e+01	2.358320e+01
2.102400000000000e-03	1.181005e+01	2.357902e+01
2.112400000000000e-03	1.181004e+01	2.357486e+01
2.122400000000000e-03	1.181004e+01	2.357073e+01
2.132400000000000e-03	1.181003e+01	2.356661e+01
2.142400000000000e-03	1.181003e+01	2.356252e+01
2.152400000000000e-03	1.181002e+01	2.355846e+01
2.162400000000001e-03	1.181002e+01	2.355444e+01
2.172400000000001e-03	1.181001e+01	2.355045e+01
2.182400000000001e-03	1.181000e+01	2.354650e+01
2.192400000000001e-03	1.180999e+01	2.354261e+01
2.202400000000001e-03	1.180999e+01	2.353877e+01
2.212400000000001e-03	1.180998e+01	2.353499e+01
2.222400000000001e-03	1.180997e+01	2.353127e+01
2.232400000000001e-03	1.180996e+01	2.352763e+01
2.242400000000001e-03	1.180995e+01	2.352407e+01
2.252400000000001e-03	1.180994e+01	2.352060e+01
2.262400000000001e-03	1.180993e+01	2.351722e+01
2.272400000000001e-03	1.180992e+01	2.351395e+01
2.292400000000001e-03	1.180990e+01	2.350771e+01
2.322400000000001e-03	1.180986e+01	2.349923e+01
2.335257142857144e-03	1.180985e+01	2.349594e+01
2.348114285714287e-03	1.180983e+01	2.349285e+01
2.360971428571430e-03	1.180982e+01	2.348996e+01
2.373828571428573e-03	1.180980e+01	2.348727e+01
2.386685714285716e-03	1.180978e+01	2.348478e+01
2.399542857142858e-03	1.180976e+01	2.348249e+01
2.412400000000001e-03	1.180975e+01	2.348039e+01
2.432400000000001e-03	1.180972e+01	2.347747e+01
2.452400000000001e-03	1.180969e+01	2.347493e+01
2.472400000000001e-03	1.180966e+01	2.347273e+01
2.492400000000001e-03	1.180963e+01	2.347086e+01
2.502400000000001e-03	1.180962e+01	2.347002e+01
2.512400000000001e-03	1.180960e+01	2.346925e+01
2.522400000000001e-03	1.180959e+01	2.346854e+01
2.532400000000001e-03	1.180957e+01	2.346789e+01
2.542400000000002e-03	1.180956e+01	2.346729e+01
2.552400000000002e-03	1.180954e+01	2.346673e+01
2.562400000000002e-03	1.180953e+01	2.346622e+01
2.572400000000002e-03	1.180951e+01	2.346575e+01
2.582400000000002e-03	1.180949e+01	2.346532e+01
2.592400000000002e-03	1.180948e+01	2.346492e+01
