Freq.	V(vout)/V(cart_emf)
1.00000000000000e+01	(4.78566378514192e+01dB,5.21128961576435e+01°)
1.02329299228075e+01	(4.80062193074997e+01dB,5.13405624148109e+01°)
1.04712854805090e+01	(4.81538844187409e+01dB,5.05560141544997e+01°)
1.07151930523761e+01	(4.82995773119405e+01dB,4.97592788778361e+01°)
1.09647819614319e+01	(4.84432416857174e+01dB,4.89503959479637e+01°)
1.12201845430196e+01	(4.85848208900804e+01dB,4.81294169020284e+01°)
1.14815362149688e+01	(4.87242580103024e+01dB,4.72964057231400e+01°)
1.17489755493953e+01	(4.88614959543612e+01dB,4.64514390917539e+01°)
1.20226443461741e+01	(4.89964775428403e+01dB,4.55946066074194e+01°)
1.23026877081238e+01	(4.91291456025969e+01dB,4.47260109603381e+01°)
1.25892541179417e+01	(4.92594430643120e+01dB,4.38457680725487e+01°)
1.28824955169313e+01	(4.93873130598595e+01dB,4.29540072024375e+01°)
1.31825673855641e+01	(4.95126990209692e+01dB,4.20508710134635e+01°)
1.34896288259165e+01	(4.96355447833915e+01dB,4.11365155707366e+01°)
1.38038426460288e+01	(4.97557946855343e+01dB,4.02111103313559e+01°)
1.41253754462275e+01	(4.98733936719424e+01dB,3.92748380658125e+01°)
1.44543977074593e+01	(4.99882873932584e+01dB,3.83278947394846e+01°)
1.47910838816821e+01	(5.01004223060690e+01dB,3.73704893550717e+01°)
1.51356124843621e+01	(5.02097457703691e+01dB,3.64028437473280e+01°)
1.54881661891248e+01	(5.03162061451927e+01dB,3.54251923358965e+01°)
1.58489319246111e+01	(5.04197528808725e+01dB,3.44377818283279e+01°)
1.62181009735893e+01	(5.05203366057239e+01dB,3.34408709097821e+01°)
1.65958690743756e+01	(5.06179092121066e+01dB,3.24347298619335e+01°)
1.69824365246174e+01	(5.07124239353836e+01dB,3.14196401725914e+01°)
1.73780082874937e+01	(5.08038354277668e+01dB,3.03958941020276e+01°)
1.77827941003892e+01	(5.08920998269803e+01dB,2.93637942366699e+01°)
